0, 0.288086 -3.870117 -0.984375 0. -30.030001 1.54 -8.75 -121.900002 123.700005 -20.5;
1, 0.288086 -3.870117 -0.984375 0. -30.030001 1.54 -8.75 -121.900002 123.700005 -20.5;
2, 0.270508 -3.911133 -1.000977 0. -23.870001 -18.9 -13.3 -121.900002 123.700005 -20.5;
3, 0.270508 -3.911133 -1.000977 0. -23.870001 -18.9 -13.3 -121.900002 123.700005 -20.5;
4, 0.276367 -3.896484 -1.021484 0. -14.56 39.970001 -7.98 -122. 123.800003 -20.5;
5, 0.276367 -3.896484 -1.021484 0. -14.56 39.970001 -7.98 -122. 123.800003 -20.5;
6, 0.338867 -3.882812 -0.996094 0. -10.08 108.989998 -4.34 -122. 123.800003 -20.5;
7, 0.338867 -3.882812 -0.996094 0. -10.08 108.989998 -4.34 -122. 123.800003 -20.5;
8, 0.236328 -3.870117 -1.026367 0. -14.56 122.5 1.75 -122. 123.800003 -20.5;
9, 0.236328 -3.870117 -1.026367 0. -14.56 122.5 1.75 -122. 123.800003 -20.5;
10, 0.250977 -3.886719 -1.020508 0. -4.76 28. -5.11 -122. 123.800003 -20.5;
11, 0.258789 -3.888672 -0.992188 0. 2.24 -15.190001 -19.879999 -122. 123.800003 -20.5;
12, 0.256836 -3.858398 -0.983398 0. 0.28 -53.549999 -24.92 -122. 123.800003 -20.5;
13, 0.314453 -3.911133 -1.026367 0. -14.42 -86.800003 -49.77 -122.200005 124. -21.4;
14, 0.314453 -3.911133 -1.026367 0. -14.42 -86.800003 -49.77 -122.200005 124. -21.4;
15, 0.310547 -3.882812 -1.072266 0. -0.21 -19.18 -40.110001 -122.200005 124. -21.4;
16, 0.310547 -3.882812 -1.072266 0. -0.21 -19.18 -40.110001 -122.200005 124. -21.4;
17, 0.28125 -3.892578 -0.974609 0. -1.19 -28.35 -43.189999 -122.200005 124. -21.4;
18, 0.28125 -3.892578 -0.974609 0. -1.19 -28.35 -43.189999 -122.200005 124. -21.4;
19, 0.250977 -3.891602 -0.985352 0. -0.7 -36.470001 -55.720001 -122.200005 124. -21.4;
20, 0.331055 -3.916016 -1.021484 0. 1.75 -32.759998 -59.080002 -122.200005 124. -21.4;
21, 0.331055 -3.916016 -1.021484 0. 1.75 -32.759998 -59.080002 -122.200005 124. -21.4;
22, 0.353516 -3.87793 -1.039062 0. 0.35 0.91 -61.389999 -122.400002 124.200005 -22.5;
23, 0.357422 -3.911133 -1.030273 0. 6.09 16.799999 -52.849998 -122.400002 124.200005 -22.5;
24, 0.295898 -3.918945 -0.977539 0. 0.91 19.74 -76.790001 -122.400002 124.200005 -22.5;
25, 0.295898 -3.918945 -0.977539 0. 0.91 19.74 -76.790001 -122.400002 124.200005 -22.5;
26, 0.393555 -3.93457 -0.993164 0. -3.64 14.28 -90.860001 -122.400002 124.200005 -22.5;
27, 0.393555 -3.93457 -0.993164 0. -3.64 14.28 -90.860001 -122.400002 124.200005 -22.5;
28, 0.410156 -3.938477 -0.977539 0. -21.91 -2.87 -83.510002 -122.400002 124.200005 -22.5;
29, 0.410156 -3.938477 -0.977539 0. -21.91 -2.87 -83.510002 -122.400002 124.200005 -22.5;
30, 0.410156 -3.938477 -0.977539 0. -21.91 -2.87 -83.510002 -122.400002 124.200005 -22.5;
31, 0.418945 -3.888672 -1.095703 0. -48.23 -70.209999 -103.110001 -122.5 123.200005 -22.5;
32, 0.279297 -3.898438 -1.140625 0. -66.5 -146.509995 -138.180008 -122.5 123.200005 -22.5;
33, 0.140625 -3.958008 -1.054688 0. -29.33 -173.460007 -167.089996 -122.5 123.200005 -22.5;
34, 0.511719 -3.911133 -1.057617 0. -22.120001 -174.300003 -219.589996 -122.5 123.200005 -22.5;
35, 0.234375 -4.044922 -0.956055 0. -25.620001 -116.059998 -220.710007 -122.5 123.200005 -22.5;
36, 0.234375 -4.044922 -0.956055 0. -25.620001 -116.059998 -220.710007 -122.5 123.200005 -22.5;
37, 0.976562 -3.660156 -1.080078 0. -44.099998 -142.520004 -172.339996 -122.5 123.200005 -22.5;
38, 0.976562 -3.660156 -1.080078 0. -44.099998 -142.520004 -172.339996 -122.5 123.200005 -22.5;
39, 0.84668 -3.722656 -0.96875 0. -46.900002 25.620001 -98. -122.5 123.200005 -22.5;
40, 0.84668 -3.722656 -0.96875 0. -46.900002 25.620001 -98. -122.5 123.200005 -22.5;
41, 0.777344 -3.783203 -1. 0. -46.41 111.93 -27.719999 -124.200005 121.900002 -22.5;
42, 0.777344 -3.783203 -1. 0. -46.41 111.93 -27.719999 -124.200005 121.900002 -22.5;
43, 0.432617 -3.844727 -1.108398 0. -47.740002 62.02 -38.290001 -124.200005 121.900002 -22.5;
